company,no_of_salaries,avg_salary,min_salary,max_salary
ZestIOT,1,-1,₹43K,₹47K
loan2grow,1,-1,₹10K,₹10K
GS Lab,1,-1,"₹1,028K","₹1,102K"
Milkbasket,1,-1,"₹1,074K","₹1,180K"
Graviton Research Capital,1,-1,"₹1,432K","₹1,559K"
Impact Analytics,1,-1,₹798K,₹861K
Jadavpur University,1,-1,₹61K,₹66K
Motion Infotech,1,-1,"₹1,466K","₹1,582K"
Accenture,1,-1,₹14K,₹16K
Essar Steel,1,-1,₹34K,₹37K
Aera Technology,1,-1,₹27K,₹29K
IBM,1,-1,"₹1,522K","₹1,634K"
SG Analytics,1,-1,₹745K,₹804K
Siemens Healthineers,1,-1,"₹1,881K","₹2,034K"
Abhijith S,1,-1,₹20K,₹22K
DONE by NONE,1,-1,₹99K,₹106K
Subex,1,-1,"₹1,026K","₹1,117K"
Zen3 Info Solutions,1,-1,₹349K,₹372K
NSH Corp,1,-1,₹478K,₹516K
Manthan Studio,1,-1,₹967K,"₹1,047K"
NDS InfoServ,1,-1,₹60K,₹65K
TekFriday Processing Solutions,1,-1,₹615K,₹659K
Persistent Networks,1,-1,₹11K,₹12K
GPS Infotech,1,-1,₹870K,₹945K
CanGo Networks,1,-1,₹47K,₹51K
GE,1,-1,"₹1,154K","₹1,244K"
GSS Infotech,1,-1,"₹1,100K","₹1,185K"
Calpine Solutions,1,-1,₹62K,₹67K
ICICI Bank,1,-1,"₹1,497K","₹1,610K"
ALGOSQUARE,1,-1,₹18K,₹19K
VMware,1,-1,"₹2,231K","₹2,395K"
TruVoice,1,-1,₹623K,₹671K
Techlink Infoware,1,-1,₹26K,₹28K
Healthcare at Home,1,-1,"₹1,111K","₹1,211K"
Stericinfotech,1,-1,₹525K,₹562K
Intellicar,1,-1,₹759K,₹826K
SAS Institute,1,-1,"₹1,181K","₹1,276K"
StashFin,1,-1,"₹1,344K","₹1,453K"
TopCareerOptions,1,-1,₹5K,₹5K
Furlenco,1,-1,₹20K,₹22K
Juniper Networks,1,-1,"₹2,819K","₹3,087K"
Express Analytics,1,-1,₹19K,₹21K
Mercedes-Benz Research and Development India,1,-1,"₹1,074K","₹1,174K"
CreditVidya,1,-1,₹35K,₹38K
Analytical Wizards,1,-1,₹744K,₹794K
MiQ,1,-1,₹40K,₹43K
Utopia,1,-1,₹953K,"₹1,049K"
SenSight Technologies,1,-1,₹14K,₹15K
YGroup Companies,1,-1,"₹1,479K","₹1,613K"
SixSense,1,-1,₹19K,₹21K
Alliance Data,1,-1,₹33K,₹35K
Tatvic Analytics,1,-1,"₹1,040K","₹1,125K"
NutaNXT Technologies,1,-1,₹775K,₹827K
Expert Freelancer Inc.,1,-1,₹511K,₹558K
Scintel Technologies,1,-1,"₹1,386K","₹1,490K"
Wipro,1,-1,₹24K,₹26K
Hitachi,1,-1,"₹2,422K","₹2,619K"
Linde,1,-1,"₹1,551K","₹1,663K"
FourKites,1,-1,"₹1,355K","₹1,445K"
TCN.INDIA,1,-1,₹40K,₹43K
SiCureMi,1,-1,₹11K,₹12K
Infosys,1,-1,₹16K,₹17K
iQuanti,1,-1,"₹1,172K","₹1,289K"
MobME,1,-1,₹719K,₹779K
Apalya Technologies,1,-1,₹8K,₹8K
Great Learning,1,-1,₹911K,₹983K
ABS,1,-1,₹154K,₹169K
Augment Systems,1,-1,₹35K,₹38K
Altimetrik,1,-1,₹566K,₹610K
Mondelēz International,1,-1,"₹1,924K","₹2,089K"
Siemens,1,-1,₹97K,₹103K
i2 Decisions,1,-1,₹543K,₹583K
Nokia,1,-1,₹34K,₹38K
CSC,1,-1,₹961K,"₹1,050K"
RailYatri,1,-1,₹11K,₹12K
Everyday Health Group,1,-1,"₹1,715K","₹1,867K"
Fresh,1,-1,₹20K,₹22K
innData Analytics,1,-1,₹290K,₹314K
Intersoft Data Labs,1,-1,₹10K,₹10K
Josh Technology Group,1,-1,₹582K,₹627K
Priya Softweb Solutions,1,-1,₹357K,₹390K
i4u Labs,1,-1,"₹2,778K","₹3,036K"
Taskbob,1,-1,"₹1,678K","₹1,813K"
BlueStacks,1,-1,"₹1,569K","₹1,693K"
INSOFE,1,-1,₹442K,₹475K
roblpeak,1,-1,₹456K,₹493K
Pervazive,1,-1,₹12K,₹13K
Ideas2IT,1,-1,"₹1,558K","₹1,693K"
HDFC ERGO Health Insurance,1,-1,₹21K,₹23K
My Ally,1,-1,₹23K,₹25K
Iris Software,1,-1,"₹1,276K","₹1,374K"
MSCI,1,-1,₹802K,₹878K
SS Supply Chain Solutions,1,-1,"₹1,221K","₹1,316K"
Codenscious,1,-1,₹16K,₹17K
Dipper,1,-1,₹6K,₹6K
EXL Service,1,-1,₹84K,₹91K
Sahara India Pariwar,1,-1,"₹1,049K","₹1,142K"
Monty Telecom Development,1,-1,₹632K,₹687K
Kane Innovations,1,-1,₹365K,₹403K
Aniket Sonawane,1,-1,₹765K,₹836K
Sigmoid Analytics,1,-1,₹913K,₹975K
CallHealth,1,-1,₹914K,₹981K
Abzooba India Infotech,1,-1,₹46K,₹50K
Crossover for Work,1,-1,"₹1,905K","₹2,083K"
Tata,1,-1,"₹2,003K","₹2,161K"
Morningstar,1,-1,₹74K,₹80K
Sabre,1,-1,"₹2,404K","₹2,584K"
Ericsson-Worldwide,1,-1,₹24K,₹26K
MOURI Tech,1,-1,₹19K,₹21K
Techmatters,1,-1,₹540K,₹592K
Goibibo,1,-1,₹15K,₹16K
SPi Global,1,-1,₹61K,₹66K
Indian School of Business,1,-1,₹46K,₹50K
YDI Solutions,1,-1,₹340K,₹372K
HDFC Bank,1,-1,₹83K,₹90K
SMEC,1,-1,"₹1,050K","₹1,133K"
Aditya Birla Group,1,-1,₹580K,₹627K
R Systems,1,-1,"₹1,738K","₹1,896K"
L&Z Assessoria Contábil,1,-1,₹192K,₹206K
Global Mantra Innovations,1,-1,₹192K,₹206K
Tech9,1,-1,"₹1,939K","₹2,094K"
Capillary Technologies,1,-1,₹24K,₹26K
The Sparks Foundation,1,-1,₹10K,₹10K
Gartner,1,-1,₹55K,₹60K
Dun & Bradstreet,1,-1,"₹1,776K","₹1,922K"
Locus,1,-1,"₹2,516K","₹2,713K"
My Ally,1,-1,"₹1,251K","₹1,357K"
AntWorks,1,-1,"₹1,633K","₹1,774K"
Amzone International,1,-1,₹298K,₹323K
Xpanxion,1,-1,"₹1,011K","₹1,087K"
Sprint,1,-1,₹69K,₹75K
Applied Materials,1,-1,"₹1,513K","₹1,626K"
Montran,1,-1,₹779K,₹838K
XYZ Tech,1,-1,₹45K,₹49K
Proven Consult,1,-1,₹712K,₹783K
Aashish sharma,1,-1,"₹1,148K","₹1,242K"
Accenture,1,-1,₹112K,₹123K
RateGain,1,-1,₹240K,₹257K
Johnson Controls,1,-1,₹658K,₹714K
Molecular Connections,1,-1,₹36K,₹39K
Quantamix Solutions,1,-1,₹6K,₹7K
Technosoft Corporation,1,-1,₹29K,₹31K
NP Global,1,-1,₹322K,₹349K
Infobase Systems,1,-1,₹804K,₹872K
Ocwen Financial,1,-1,"₹1,143K","₹1,228K"
Blackstraw,1,-1,"₹1,536K","₹1,643K"
CommerceIQ,1,-1,₹69K,₹73K
National Centre for Biological Sciences,1,-1,₹393K,₹428K
Honeywell Technology Solutions Lab Pvt Ltd,1,-1,"₹1,531K","₹1,651K"
ValueLabs,1,-1,"₹2,363K","₹2,575K"
Flutura,1,-1,₹56K,₹61K
Elucidata (MA),1,-1,₹956K,"₹1,036K"
TietoEvry,1,-1,₹666K,₹735K
Bestintown Analytics,1,-1,₹22K,₹24K
Enquero,1,-1,"₹1,362K","₹1,489K"
Synopsys,1,-1,₹355K,₹387K
CTE,1,-1,"₹9,718K","₹10,486K"
Deloitte,1,-1,821K,883K
AIChunks,1,-1,₹10K,₹11K
GE,1,-1,"₹1,039K","₹1,130K"
KPMG,1,-1,₹872K,₹939K
Quantium,1,-1,₹17K,₹19K
NCBS,1,-1,₹393K,₹428K
GroupM,1,-1,₹37K,₹40K
Thomson Reuters,1,-1,"₹1,286K","₹1,401K"
Merkle,1,-1,"₹1,212K","₹1,294K"
Deutsche Bank,1,-1,₹65K,₹69K
Reliance,1,-1,₹740K,₹811K
Kavyant Technologies,1,-1,₹578K,₹621K
advids.co,1,-1,₹74K,₹81K
James,1,-1,₹1K,₹1K
Phenom People,1,-1,"₹2,209K","₹2,367K"
Monsoon (India),1,-1,"₹1,216K","₹1,295K"
Play Games24x7,1,-1,"₹1,973K","₹2,138K"
Jash Data Sciences,1,-1,₹671K,₹723K
Development Credit Bank Limited,1,-1,₹435K,₹466K
Skillmap Training and Services,1,-1,₹34K,₹36K
Safeducate Institute of Learning,1,-1,₹772K,₹827K
Zycus,1,-1,"₹1,452K","₹1,585K"
Group IMD,1,-1,"₹1,142K","₹1,232K"
MetLife,1,-1,₹384K,₹417K
Tata Steel,1,-1,"₹2,083K","₹2,235K"
PwC,1,-1,₹27K,₹29K
Simpl,1,-1,"₹2,713K","₹2,917K"
Bobble Keyboard,1,-1,₹16K,₹17K
Ankit,1,-1,₹29K,₹31K
Orzota,1,-1,₹456K,₹496K
Biosense Technologies,1,-1,₹484K,₹516K
EdgeVerve Systems,1,-1,"₹1,064K","₹1,166K"
Cisco Systems,1,-1,₹753K,₹807K
Mindtree,1,-1,"₹1,255K","₹1,370K"
Cerner,1,-1,"₹1,934K","₹2,074K"
